route_key,ODC,DDC,ProductType,dayofweek,Optimal_Model,Historical_Error_Pct,Confidence
ATL|BOS|MAX|3,ATL,BOS,MAX,3,01_Historical_Baseline,999.0,LOW
ATL|BOS|MAX|4,ATL,BOS,MAX,4,09_Exp_Smoothing,3.6666666666666714,HIGH
ATL|BOS|MAX|5,ATL,BOS,MAX,5,01_Historical_Baseline,999.0,LOW
ATL|BOS|MAX|6,ATL,BOS,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|CAK|MAX|3,ATL,CAK,MAX,3,01_Historical_Baseline,0.0,HIGH
ATL|DEN|MAX|2,ATL,DEN,MAX,2,02_Recent_2W,33.33333333333333,MEDIUM
ATL|DEN|MAX|3,ATL,DEN,MAX,3,18_Clustering,1.993710691823895,HIGH
ATL|DEN|MAX|4,ATL,DEN,MAX,4,04_Recent_8W,12.5,HIGH
ATL|DEN|MAX|5,ATL,DEN,MAX,5,01_Historical_Baseline,999.0,LOW
ATL|DEN|MAX|6,ATL,DEN,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|DEN|MAX|7,ATL,DEN,MAX,7,01_Historical_Baseline,999.0,LOW
ATL|LAX|EXP|3,ATL,LAX,EXP,3,06_Prior_Week,10.55555555555556,HIGH
ATL|LAX|EXP|4,ATL,LAX,EXP,4,11_Hybrid_Week_Blend,6.328124999999996,HIGH
ATL|LAX|EXP|5,ATL,LAX,EXP,5,08_Week_Specific,0.0,HIGH
ATL|LAX|MAX|2,ATL,LAX,MAX,2,18_Clustering,54.059551886792455,LOW
ATL|LAX|MAX|3,ATL,LAX,MAX,3,18_Clustering,3.3639523336643564,HIGH
ATL|LAX|MAX|4,ATL,LAX,MAX,4,12_Median_Recent,1.5625,HIGH
ATL|LAX|MAX|5,ATL,LAX,MAX,5,01_Historical_Baseline,0.0,HIGH
ATL|LAX|MAX|6,ATL,LAX,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|LAX|MAX|7,ATL,LAX,MAX,7,01_Historical_Baseline,999.0,LOW
ATL|MCI|MAX|3,ATL,MCI,MAX,3,12_Median_Recent,42.5,MEDIUM
ATL|MCI|MAX|4,ATL,MCI,MAX,4,03_Recent_4W_HYBRID,3.260869565217391,HIGH
ATL|MCI|MAX|5,ATL,MCI,MAX,5,01_Historical_Baseline,0.0,HIGH
ATL|MCI|MAX|6,ATL,MCI,MAX,6,01_Historical_Baseline,0.0,HIGH
ATL|PHX|MAX|2,ATL,PHX,MAX,2,09_Exp_Smoothing,8.181818181818185,HIGH
ATL|PHX|MAX|3,ATL,PHX,MAX,3,18_Clustering,5.006738544474398,HIGH
ATL|PHX|MAX|4,ATL,PHX,MAX,4,01_Historical_Baseline,0.0,HIGH
ATL|PHX|MAX|5,ATL,PHX,MAX,5,01_Historical_Baseline,999.0,LOW
ATL|PHX|MAX|6,ATL,PHX,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|PHX|MAX|7,ATL,PHX,MAX,7,01_Historical_Baseline,999.0,LOW
ATL|SEA|EXP|3,ATL,SEA,EXP,3,08_Week_Specific,2.5,HIGH
ATL|SEA|EXP|4,ATL,SEA,EXP,4,13_Weighted_Recent_Week,0.5,HIGH
ATL|SEA|EXP|5,ATL,SEA,EXP,5,08_Week_Specific,0.0,HIGH
ATL|SEA|EXP|6,ATL,SEA,EXP,6,01_Historical_Baseline,999.0,LOW
ATL|SEA|MAX|2,ATL,SEA,MAX,2,18_Clustering,5.006738544474398,HIGH
ATL|SEA|MAX|3,ATL,SEA,MAX,3,08_Week_Specific,4.3478260869565215,HIGH
ATL|SEA|MAX|4,ATL,SEA,MAX,4,04_Recent_8W,0.0,HIGH
ATL|SEA|MAX|5,ATL,SEA,MAX,5,01_Historical_Baseline,999.0,LOW
ATL|SEA|MAX|6,ATL,SEA,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|SEA|MAX|7,ATL,SEA,MAX,7,01_Historical_Baseline,999.0,LOW
ATL|SFO|EXP|3,ATL,SFO,EXP,3,01_Historical_Baseline,2.3255813953488373,HIGH
ATL|SFO|EXP|4,ATL,SFO,EXP,4,02_Recent_2W,4.545454545454546,HIGH
ATL|SFO|EXP|5,ATL,SFO,EXP,5,08_Week_Specific,0.0,HIGH
ATL|SFO|MAX|2,ATL,SFO,MAX,2,18_Clustering,13.523862375138732,HIGH
ATL|SFO|MAX|3,ATL,SFO,MAX,3,12_Median_Recent,7.6923076923076925,HIGH
ATL|SFO|MAX|4,ATL,SFO,MAX,4,04_Recent_8W,13.23529411764706,HIGH
ATL|SFO|MAX|5,ATL,SFO,MAX,5,01_Historical_Baseline,999.0,LOW
ATL|SFO|MAX|6,ATL,SFO,MAX,6,01_Historical_Baseline,999.0,LOW
ATL|SFO|MAX|7,ATL,SFO,MAX,7,01_Historical_Baseline,999.0,LOW
ATL|SJU|EXP|3,ATL,SJU,EXP,3,18_Clustering,8.195754716981138,HIGH
ATL|SJU|EXP|4,ATL,SJU,EXP,4,16_ML_Regressor,0.342520576461494,HIGH
ATL|SJU|EXP|5,ATL,SJU,EXP,5,01_Historical_Baseline,0.0,HIGH
ATL|SJU|EXP|6,ATL,SJU,EXP,6,01_Historical_Baseline,0.0,HIGH
