ODC,DDC,ProductType,dayofweek
ATL,BOS,MAX,3
ATL,BOS,MAX,4
ATL,BOS,MAX,5
ATL,BOS,MAX,6
ATL,CAK,MAX,3
ATL,DEN,MAX,2
ATL,DEN,MAX,3
ATL,DEN,MAX,4
ATL,DEN,MAX,5
ATL,DEN,MAX,6
ATL,DEN,MAX,7
ATL,LAX,EXP,3
ATL,LAX,EXP,4
ATL,LAX,EXP,5
ATL,LAX,MAX,2
ATL,LAX,MAX,3
ATL,LAX,MAX,4
ATL,LAX,MAX,5
ATL,LAX,MAX,6
ATL,LAX,MAX,7
ATL,MCI,MAX,3
ATL,MCI,MAX,4
ATL,MCI,MAX,5
ATL,MCI,MAX,6
ATL,PHX,MAX,2
ATL,PHX,MAX,3
ATL,PHX,MAX,4
ATL,PHX,MAX,5
ATL,PHX,MAX,6
ATL,PHX,MAX,7
ATL,SEA,EXP,3
ATL,SEA,EXP,4
ATL,SEA,EXP,5
ATL,SEA,EXP,6
ATL,SEA,MAX,2
ATL,SEA,MAX,3
ATL,SEA,MAX,4
ATL,SEA,MAX,5
ATL,SEA,MAX,6
ATL,SEA,MAX,7
ATL,SFO,EXP,3
ATL,SFO,EXP,4
ATL,SFO,EXP,5
ATL,SFO,MAX,2
ATL,SFO,MAX,3
ATL,SFO,MAX,4
ATL,SFO,MAX,5
ATL,SFO,MAX,6
ATL,SFO,MAX,7
ATL,SJU,EXP,3
ATL,SJU,EXP,4
ATL,SJU,EXP,5
ATL,SJU,EXP,6
ATL,SJU,EXP,7
ATL,SLC,EXP,3
ATL,SLC,EXP,4
ATL,SLC,EXP,5
ATL,SLC,MAX,2
ATL,SLC,MAX,3
ATL,SLC,MAX,4
ATL,SLC,MAX,5
ATL,SLC,MAX,6
ATL,SLC,MAX,7
CAK,ATL,MAX,3
CAK,ATL,MAX,4
CAK,ATL,MAX,5
CAK,ATL,MAX,6
CAK,CLT,MAX,3
CAK,CLT,MAX,4
CAK,CLT,MAX,5
CAK,CLT,MAX,6
CAK,DEN,EXP,3
CAK,DEN,EXP,4
CAK,DEN,EXP,5
CAK,DEN,MAX,3
CAK,DEN,MAX,4
CAK,DEN,MAX,5
CAK,DEN,MAX,6
CAK,DEN,MAX,7
CAK,DFW,MAX,3
CAK,DFW,MAX,4
CAK,DFW,MAX,5
CAK,DFW,MAX,6
CAK,IAH,MAX,3
CAK,IAH,MAX,4
CAK,IAH,MAX,5
CAK,IAH,MAX,6
CAK,LAX,MAX,3
CAK,LAX,MAX,4
CAK,LAX,MAX,5
CAK,LAX,MAX,6
CAK,LAX,MAX,7
CAK,MCI,MAX,3
CAK,MCI,MAX,4
CAK,MCI,MAX,5
CAK,MCI,MAX,6
CAK,MCO,MAX,3
CAK,MCO,MAX,4
CAK,MCO,MAX,5
CAK,MCO,MAX,6
CAK,PHX,MAX,3
CAK,PHX,MAX,4
CAK,PHX,MAX,5
CAK,PHX,MAX,6
CAK,PHX,MAX,7
CAK,SEA,EXP,3
CAK,SEA,EXP,4
CAK,SEA,EXP,5
CAK,SEA,EXP,6
CAK,SEA,MAX,3
CAK,SEA,MAX,4
CAK,SEA,MAX,5
CAK,SEA,MAX,6
CAK,SEA,MAX,7
CAK,SFO,EXP,3
CAK,SFO,EXP,4
CAK,SFO,EXP,5
CAK,SFO,EXP,6
CAK,SFO,EXP,7
CAK,SFO,MAX,3
CAK,SFO,MAX,4
CAK,SFO,MAX,5
CAK,SFO,MAX,6
CAK,SFO,MAX,7
CAK,SLC,EXP,3
CAK,SLC,EXP,4
CAK,SLC,EXP,5
CAK,SLC,MAX,3
CAK,SLC,MAX,4
CAK,SLC,MAX,5
CAK,SLC,MAX,6
CAK,SLC,MAX,7
CLT,DEN,EXP,2
CLT,DEN,EXP,3
CLT,DEN,EXP,4
CLT,DEN,EXP,5
CLT,DEN,MAX,2
CLT,DEN,MAX,3
CLT,DEN,MAX,4
CLT,DEN,MAX,5
CLT,DEN,MAX,6
CLT,DEN,MAX,7
CLT,DFW,MAX,2
CLT,DFW,MAX,3
CLT,DFW,MAX,4
CLT,DFW,MAX,5
CLT,DFW,MAX,6
CLT,IAH,MAX,2
CLT,IAH,MAX,3
CLT,IAH,MAX,4
